name,n_alcohol,temperature_K,cutoff_cm1,alcohol_activity,delta_G_standard_1M_kcal_mol,effective_association_kcal_mol,log_activity_ratio_complex_to_bare
hemiaminal_tbuoh_1_seed_02,1,360.0,150.0,0.1,3.0935274289404333,4.740781913905472,-6.626816842041382
hemiaminal_tbuoh_1_seed_02,1,360.0,150.0,1.0,3.0935274289404333,3.0935274289404333,-4.324231749047336
hemiaminal_tbuoh_1_seed_02,1,370.0,50.0,0.001,2.7280849229464366,7.807119584921972,-10.618094798631116
hemiaminal_tbuoh_1_seed_02,1,370.0,50.0,0.01,2.7280849229464366,6.114108030930127,-8.31550970563707
hemiaminal_tbuoh_1_seed_02,1,370.0,50.0,0.05,2.7280849229464366,4.930743737695517,-6.70607179320297
hemiaminal_tbuoh_1_seed_02,1,370.0,50.0,0.1,2.7280849229464366,4.421096476938281,-6.012924612643023
hemiaminal_tbuoh_1_seed_02,1,370.0,50.0,1.0,2.7280849229464366,2.7280849229464366,-3.710339519648979
hemiaminal_tbuoh_1_seed_02,1,370.0,100.0,0.001,3.3125965331637417,8.391631195139277,-11.413061446788317
hemiaminal_tbuoh_1_seed_02,1,370.0,100.0,0.01,3.3125965331637417,6.698619641147432,-9.110476353794272
hemiaminal_tbuoh_1_seed_02,1,370.0,100.0,0.05,3.3125965331637417,5.515255347912822,-7.501038441360171
hemiaminal_tbuoh_1_seed_02,1,370.0,100.0,0.1,3.3125965331637417,5.005608087155586,-6.8078912608002256
hemiaminal_tbuoh_1_seed_02,1,370.0,100.0,1.0,3.3125965331637417,3.3125965331637417,-4.5053061678061805
hemiaminal_tbuoh_1_seed_02,1,370.0,150.0,0.001,3.4717556046507525,8.550790266626288,-11.629526186533697
hemiaminal_tbuoh_1_seed_02,1,370.0,150.0,0.01,3.4717556046507525,6.857778712634443,-9.32694109353965
hemiaminal_tbuoh_1_seed_02,1,370.0,150.0,0.05,3.4717556046507525,5.674414419399833,-7.717503181105551
hemiaminal_tbuoh_1_seed_02,1,370.0,150.0,0.1,3.4717556046507525,5.164767158642597,-7.0243560005456045
hemiaminal_tbuoh_1_seed_02,1,370.0,150.0,1.0,3.4717556046507525,3.4717556046507525,-4.72177090755156
hemiaminal_tbuoh_1_seed_02,1,380.0,50.0,0.001,3.0687206246784626,8.285026493734417,-10.971545176847233
hemiaminal_tbuoh_1_seed_02,1,380.0,50.0,0.01,3.0687206246784626,6.546257870715766,-8.668960083853188
hemiaminal_tbuoh_1_seed_02,1,380.0,50.0,0.05,3.0687206246784626,5.330910758745086,-7.059522171419088
hemiaminal_tbuoh_1_seed_02,1,380.0,50.0,0.1,3.0687206246784626,4.807489247697115,-6.366374990859144
hemiaminal_tbuoh_1_seed_02,1,380.0,50.0,1.0,3.0687206246784626,3.0687206246784626,-4.063789897865098
hemiaminal_tbuoh_1_seed_02,1,380.0,100.0,0.001,3.681537515612945,8.8978433846689,-11.783075255732008
